Id,SalePrice
1461,123241.29
1462,173277.97
1463,182183.06
1464,195778.78
1465,177716.44
1466,180053.38
1467,173513.23
1468,170250.11
1469,192137.08
1470,126797.25
1471,198344.69
1472,96778.43
1473,98132.625
1474,148032.75
1475,127444.74
1476,397651.66
1477,253354.6
1478,302877.88
1479,295622.25
1480,455868.4
1481,366130.75
1482,202849.17
1483,179433.06
1484,169187.12
1485,178120.25
1486,189854.22
1487,384986.22
1488,236743.83
1489,209259.28
1490,204578.3
1491,187660.45
1492,93835.1
1493,196679.36
1494,267882.84
1495,293222.3
1496,228738.2
1497,183518.9
1498,160242.44
1499,156688.83
1500,148623.25
1501,181928.14
1502,152057.02
1503,277086.22
1504,240022.17
1505,232088.81
1506,169052.0
1507,238079.83
1508,213997.78
1509,168236.95
1510,141441.72
1511,138628.05
1512,168194.81
1513,158429.34
1514,162128.53
1515,200337.25
1516,144244.39
1517,155291.08
1518,128378.04
1519,225808.17
1520,135936.66
1521,131508.55
1522,162478.61
1523,116820.99
1524,130603.05
1525,130004.63
1526,125460.62
1527,105071.18
1528,131114.48
1529,150066.58
1530,184610.2
1531,116651.2
1532,100959.32
1533,149005.3
1534,116208.33
1535,168199.05
1536,115164.74
1537,72333.33
1538,160930.53
1539,168923.97
1540,107708.69
1541,145121.16
1542,133961.53
1543,222924.17
1544,77985.38
1545,105300.97
1546,123376.55
1547,132499.83
1548,133994.53
1549,115003.26
1550,133771.58
1551,106413.52
1552,142639.89
1553,147278.25
1554,116579.44
1555,174065.25
1556,75672.63
1557,100906.79
1558,78171.12
1559,103582.21
1560,129269.86
1561,137120.17
1562,127138.44
1563,128868.19
1564,160236.55
1565,140154.45
1566,219190.3
1567,70842.49
1568,238262.33
1569,152086.9
1570,133481.92
1571,131141.88
1572,146215.19
1573,257836.11
1574,128274.234
1575,217470.34
1576,234360.08
1577,202236.84
1578,139767.92
1579,144328.44
1580,190766.52
1581,162370.34
1582,133736.38
1583,316088.06
1584,230728.39
1585,142541.2
1586,75111.9
1587,103257.77
1588,157513.86
1589,97030.6
1590,139845.83
1591,95541.29
1592,111670.64
1593,126297.49
1594,134949.11
1595,115858.22
1596,245169.78
1597,195157.36
1598,200513.47
1599,183370.86
1600,172097.88
1601,72167.66
1602,106032.82
1603,87437.88
1604,279456.38
1605,252284.72
1606,173125.62
1607,139714.81
1608,221088.72
1609,194268.6
1610,151777.45
1611,139591.94
1612,167651.56
1613,165287.81
1614,123187.58
1615,92133.4
1616,67899.98
1617,83894.27
1618,125528.36
1619,136621.95
1620,155173.8
1621,141580.48
1622,143317.61
1623,282030.9
1624,214427.55
1625,113728.52
1626,156556.25
1627,181845.77
1628,261782.47
1629,172917.69
1630,337233.3
1631,230696.22
1632,248697.61
1633,178144.64
1634,183009.56
1635,177974.45
1636,153910.84
1637,193503.6
1638,204954.77
1639,177576.84
1640,279752.7
1641,166940.3
1642,225845.39
1643,223033.02
1644,232790.1
1645,200228.11
1646,161089.25
1647,159959.17
1648,135922.48
1649,140262.44
1650,115828.24
1651,125023.28
1652,94186.586
1653,96387.39
1654,150842.89
1655,149608.7
1656,145974.5
1657,155861.61
1658,149435.08
1659,124834.53
1660,140509.81
1661,432985.03
1662,411727.28
1663,392935.03
1664,458004.0
1665,312853.28
1666,314584.72
1667,365130.4
1668,342132.47
1669,295676.66
1670,345764.56
1671,262389.12
1672,448670.53
1673,275608.44
1674,244214.27
1675,186006.3
1676,189243.98
1677,220606.97
1678,447773.3
1679,395567.06
1680,367136.34
1681,225815.08
1682,307017.34
1683,179045.75
1684,171564.47
1685,168296.84
1686,168779.23
1687,169367.6
1688,187268.55
1689,183682.4
1690,183935.5
1691,174549.05
1692,256099.11
1693,168776.56
1694,177897.31
1695,168737.45
1696,274426.2
1697,174916.97
1698,359382.4
1699,333792.72
1700,250362.97
1701,275210.78
1702,233981.61
1703,235212.81
1704,273270.84
1705,223673.4
1706,456586.38
1707,214449.11
1708,220767.9
1709,262668.1
1710,227805.52
1711,232052.2
1712,278069.38
1713,264099.22
1714,226652.42
1715,204875.17
1716,186763.61
1717,173001.58
1718,133268.5
1719,207067.72
1720,231759.45
1721,166060.11
1722,121666.99
1723,148554.69
1724,197504.25
1725,253028.19
1726,195180.27
1727,170488.77
1728,172458.1
1729,164387.12
1730,145397.92
1731,122723.27
1732,137873.6
1733,115542.125
1734,102718.28
1735,133485.44
1736,117878.82
1737,347582.22
1738,217991.16
1739,274209.3
1740,220291.9
1741,185748.95
1742,171749.03
1743,169278.28
1744,302399.84
